premise	hypothesis	entailment	reasoning_type	function_name	answer	correct
Jane is jumping.	Jane is stationary.	contradiction	motion	gen_motion_negative	contradiction	1
Jane is swimming.	Jane is not moving.	contradiction	motion	gen_motion_negative	contradiction	1
Jane is swimming.	Jane is not in motion.	contradiction	motion	gen_motion_negative	contradiction	1
Jane is swimming.	Jane is stationary.	contradiction	motion	gen_motion_negative	contradiction	1
Tom is running.	Tom is not moving.	contradiction	motion	gen_motion_negative	contradiction	1
Tom is running.	Tom is not in motion.	contradiction	motion	gen_motion_negative	contradiction	1
Tom is running.	Tom is stationary.	contradiction	motion	gen_motion_negative	contradiction	1
Tom is sprinting.	Tom is not moving.	contradiction	motion	gen_motion_negative	contradiction	1
Tom is sprinting.	Tom is not in motion.	contradiction	motion	gen_motion_negative	contradiction	1
Tom is sprinting.	Tom is stationary.	contradiction	motion	gen_motion_negative	contradiction	1
Tom is jogging.	Tom is not moving.	contradiction	motion	gen_motion_negative	contradiction	1
Tom is jogging.	Tom is not in motion.	contradiction	motion	gen_motion_negative	contradiction	1
Tom is jogging.	Tom is stationary.	contradiction	motion	gen_motion_negative	contradiction	1
Tom is walking.	Tom is not moving.	contradiction	motion	gen_motion_negative	contradiction	1
Tom is walking.	Tom is not in motion.	contradiction	motion	gen_motion_negative	contradiction	1
Tom is walking.	Tom is stationary.	contradiction	motion	gen_motion_negative	contradiction	1
Tom is jumping.	Tom is not moving.	contradiction	motion	gen_motion_negative	contradiction	1
Tom is jumping.	Tom is not in motion.	contradiction	motion	gen_motion_negative	contradiction	1
Tom is jumping.	Tom is stationary.	contradiction	motion	gen_motion_negative	contradiction	1
Tom is swimming.	Tom is not moving.	contradiction	motion	gen_motion_negative	contradiction	1
Tom is swimming.	Tom is not in motion.	contradiction	motion	gen_motion_negative	contradiction	1
Tom is swimming.	Tom is stationary.	contradiction	motion	gen_motion_negative	contradiction	1
Alice is running.	Alice is not moving.	contradiction	motion	gen_motion_negative	contradiction	1
Alice is running.	Alice is not in motion.	contradiction	motion	gen_motion_negative	contradiction	1
Alice is running.	Alice is stationary.	contradiction	motion	gen_motion_negative	contradiction	1
Alice is sprinting.	Alice is not moving.	contradiction	motion	gen_motion_negative	contradiction	1
Alice is sprinting.	Alice is not in motion.	contradiction	motion	gen_motion_negative	contradiction	1
Alice is sprinting.	Alice is stationary.	contradiction	motion	gen_motion_negative	contradiction	1
Alice is jogging.	Alice is not moving.	contradiction	motion	gen_motion_negative	contradiction	1
Alice is jogging.	Alice is not in motion.	contradiction	motion	gen_motion_negative	contradiction	1
Alice is jogging.	Alice is stationary.	contradiction	motion	gen_motion_negative	contradiction	1
Alice is walking.	Alice is not moving.	contradiction	motion	gen_motion_negative	contradiction	1
Alice is walking.	Alice is not in motion.	contradiction	motion	gen_motion_negative	contradiction	1
Alice is walking.	Alice is stationary.	contradiction	motion	gen_motion_negative	contradiction	1
Alice is jumping.	Alice is not moving.	contradiction	motion	gen_motion_negative	contradiction	1
Alice is jumping.	Alice is not in motion.	contradiction	motion	gen_motion_negative	contradiction	1
Alice is jumping.	Alice is stationary.	contradiction	motion	gen_motion_negative	contradiction	1
Alice is swimming.	Alice is not moving.	contradiction	motion	gen_motion_negative	contradiction	1
Alice is swimming.	Alice is not in motion.	contradiction	motion	gen_motion_negative	contradiction	1
Alice is swimming.	Alice is stationary.	contradiction	motion	gen_motion_negative	contradiction	1
Bob is running.	Bob is not moving.	contradiction	motion	gen_motion_negative	contradiction	1
Bob is running.	Bob is not in motion.	contradiction	motion	gen_motion_negative	contradiction	1
Bob is running.	Bob is stationary.	contradiction	motion	gen_motion_negative	contradiction	1
Bob is sprinting.	Bob is not moving.	contradiction	motion	gen_motion_negative	contradiction	1
Bob is sprinting.	Bob is not in motion.	contradiction	motion	gen_motion_negative	contradiction	1
Bob is sprinting.	Bob is stationary.	contradiction	motion	gen_motion_negative	contradiction	1
Bob is jogging.	Bob is not moving.	contradiction	motion	gen_motion_negative	contradiction	1
Bob is jogging.	Bob is not in motion.	contradiction	motion	gen_motion_negative	contradiction	1
Bob is jogging.	Bob is stationary.	contradiction	motion	gen_motion_negative	contradiction	1
Bob is walking.	Bob is not moving.	contradiction	motion	gen_motion_negative	contradiction	1
Bob is walking.	Bob is not in motion.	contradiction	motion	gen_motion_negative	contradiction	1
Bob is walking.	Bob is stationary.	contradiction	motion	gen_motion_negative	contradiction	1
Bob is jumping.	Bob is not moving.	contradiction	motion	gen_motion_negative	contradiction	1
Bob is jumping.	Bob is not in motion.	contradiction	motion	gen_motion_negative	contradiction	1
Bob is jumping.	Bob is stationary.	contradiction	motion	gen_motion_negative	contradiction	1
Bob is swimming.	Bob is not moving.	contradiction	motion	gen_motion_negative	contradiction	1
Bob is swimming.	Bob is not in motion.	contradiction	motion	gen_motion_negative	contradiction	1
Bob is swimming.	Bob is stationary.	contradiction	motion	gen_motion_negative	contradiction	1
Sonya is running.	Sonya is not moving.	contradiction	motion	gen_motion_negative	contradiction	1
Sonya is running.	Sonya is not in motion.	contradiction	motion	gen_motion_negative	contradiction	1
Sonya is running.	Sonya is stationary.	contradiction	motion	gen_motion_negative	contradiction	1
Sonya is sprinting.	Sonya is not moving.	contradiction	motion	gen_motion_negative	contradiction	1
Sonya is sprinting.	Sonya is not in motion.	contradiction	motion	gen_motion_negative	contradiction	1
Sonya is sprinting.	Sonya is stationary.	contradiction	motion	gen_motion_negative	contradiction	1
Sonya is jogging.	Sonya is not moving.	contradiction	motion	gen_motion_negative	contradiction	1
Sonya is jogging.	Sonya is not in motion.	contradiction	motion	gen_motion_negative	contradiction	1
Sonya is jogging.	Sonya is stationary.	contradiction	motion	gen_motion_negative	contradiction	1
Sonya is walking.	Sonya is not moving.	contradiction	motion	gen_motion_negative	contradiction	1
Sonya is walking.	Sonya is not in motion.	contradiction	motion	gen_motion_negative	contradiction	1
Sonya is walking.	Sonya is stationary.	contradiction	motion	gen_motion_negative	contradiction	1
Sonya is jumping.	Sonya is not moving.	contradiction	motion	gen_motion_negative	contradiction	1
Sonya is jumping.	Sonya is not in motion.	contradiction	motion	gen_motion_negative	contradiction	1
Sonya is jumping.	Sonya is stationary.	contradiction	motion	gen_motion_negative	contradiction	1
Sonya is swimming.	Sonya is not moving.	contradiction	motion	gen_motion_negative	contradiction	1
Sonya is swimming.	Sonya is not in motion.	contradiction	motion	gen_motion_negative	contradiction	1
Sonya is swimming.	Sonya is stationary.	contradiction	motion	gen_motion_negative	contradiction	1
John is running.	John is moving.	entailment	motion	gen_motion_positive	entailment	1
John is running.	John is in motion.	entailment	motion	gen_motion_positive	entailment	1
John is running.	John is not stationary.	entailment	motion	gen_motion_positive	entailment	1
John is sprinting.	John is moving.	entailment	motion	gen_motion_positive	entailment	1
John is sprinting.	John is in motion.	entailment	motion	gen_motion_positive	entailment	1
John is sprinting.	John is not stationary.	entailment	motion	gen_motion_positive	entailment	1
John is jogging.	John is moving.	entailment	motion	gen_motion_positive	entailment	1
John is jogging.	John is in motion.	entailment	motion	gen_motion_positive	entailment	1
John is jogging.	John is not stationary.	entailment	motion	gen_motion_positive	entailment	1
John is walking.	John is moving.	entailment	motion	gen_motion_positive	entailment	1
John is walking.	John is in motion.	entailment	motion	gen_motion_positive	entailment	1
John is walking.	John is not stationary.	entailment	motion	gen_motion_positive	entailment	1
John is jumping.	John is moving.	entailment	motion	gen_motion_positive	entailment	1
John is jumping.	John is in motion.	entailment	motion	gen_motion_positive	entailment	1
John is jumping.	John is not stationary.	entailment	motion	gen_motion_positive	entailment	1
John is swimming.	John is moving.	entailment	motion	gen_motion_positive	entailment	1
John is swimming.	John is in motion.	entailment	motion	gen_motion_positive	entailment	1
John is swimming.	John is not stationary.	entailment	motion	gen_motion_positive	entailment	1
Jane is running.	Jane is moving.	entailment	motion	gen_motion_positive	entailment	1
Jane is running.	Jane is in motion.	entailment	motion	gen_motion_positive	entailment	1
Jane is running.	Jane is not stationary.	entailment	motion	gen_motion_positive	entailment	1
Jane is sprinting.	Jane is moving.	entailment	motion	gen_motion_positive	entailment	1
Jane is sprinting.	Jane is in motion.	entailment	motion	gen_motion_positive	entailment	1
Jane is sprinting.	Jane is not stationary.	entailment	motion	gen_motion_positive	entailment	1
Jane is jogging.	Jane is moving.	entailment	motion	gen_motion_positive	entailment	1
Jane is jogging.	Jane is in motion.	entailment	motion	gen_motion_positive	entailment	1
Jane is jogging.	Jane is not stationary.	entailment	motion	gen_motion_positive	entailment	1
Jane is walking.	Jane is moving.	entailment	motion	gen_motion_positive	entailment	1
Jane is walking.	Jane is in motion.	entailment	motion	gen_motion_positive	entailment	1
Jane is walking.	Jane is not stationary.	entailment	motion	gen_motion_positive	entailment	1
Jane is jumping.	Jane is moving.	entailment	motion	gen_motion_positive	entailment	1
Jane is jumping.	Jane is in motion.	entailment	motion	gen_motion_positive	entailment	1
Jane is jumping.	Jane is not stationary.	entailment	motion	gen_motion_positive	entailment	1
Jane is swimming.	Jane is moving.	entailment	motion	gen_motion_positive	entailment	1
Jane is swimming.	Jane is in motion.	entailment	motion	gen_motion_positive	entailment	1
Jane is swimming.	Jane is not stationary.	entailment	motion	gen_motion_positive	entailment	1
Tom is running.	Tom is moving.	entailment	motion	gen_motion_positive	entailment	1
Tom is running.	Tom is in motion.	entailment	motion	gen_motion_positive	entailment	1
Tom is running.	Tom is not stationary.	entailment	motion	gen_motion_positive	entailment	1
Tom is sprinting.	Tom is moving.	entailment	motion	gen_motion_positive	entailment	1
Tom is sprinting.	Tom is in motion.	entailment	motion	gen_motion_positive	entailment	1
Tom is sprinting.	Tom is not stationary.	entailment	motion	gen_motion_positive	entailment	1
Tom is jogging.	Tom is moving.	entailment	motion	gen_motion_positive	entailment	1
Tom is jogging.	Tom is in motion.	entailment	motion	gen_motion_positive	entailment	1
Tom is jogging.	Tom is not stationary.	entailment	motion	gen_motion_positive	entailment	1
Tom is walking.	Tom is moving.	entailment	motion	gen_motion_positive	entailment	1
Tom is walking.	Tom is in motion.	entailment	motion	gen_motion_positive	entailment	1
Tom is walking.	Tom is not stationary.	entailment	motion	gen_motion_positive	entailment	1
Tom is jumping.	Tom is moving.	entailment	motion	gen_motion_positive	entailment	1
Tom is jumping.	Tom is in motion.	entailment	motion	gen_motion_positive	entailment	1
Tom is jumping.	Tom is not stationary.	entailment	motion	gen_motion_positive	entailment	1
Tom is swimming.	Tom is moving.	entailment	motion	gen_motion_positive	entailment	1
Tom is swimming.	Tom is in motion.	entailment	motion	gen_motion_positive	entailment	1
Tom is swimming.	Tom is not stationary.	entailment	motion	gen_motion_positive	entailment	1
Alice is running.	Alice is moving.	entailment	motion	gen_motion_positive	entailment	1
Alice is running.	Alice is in motion.	entailment	motion	gen_motion_positive	entailment	1
Alice is running.	Alice is not stationary.	entailment	motion	gen_motion_positive	entailment	1
Alice is sprinting.	Alice is moving.	entailment	motion	gen_motion_positive	entailment	1
Alice is sprinting.	Alice is in motion.	entailment	motion	gen_motion_positive	entailment	1
Alice is sprinting.	Alice is not stationary.	entailment	motion	gen_motion_positive	entailment	1
Alice is jogging.	Alice is moving.	entailment	motion	gen_motion_positive	entailment	1
Alice is jogging.	Alice is in motion.	entailment	motion	gen_motion_positive	entailment	1
Alice is jogging.	Alice is not stationary.	entailment	motion	gen_motion_positive	entailment	1
Alice is walking.	Alice is moving.	entailment	motion	gen_motion_positive	entailment	1
Alice is walking.	Alice is in motion.	entailment	motion	gen_motion_positive	entailment	1
Alice is walking.	Alice is not stationary.	entailment	motion	gen_motion_positive	entailment	1
Alice is jumping.	Alice is moving.	entailment	motion	gen_motion_positive	entailment	1
Alice is jumping.	Alice is in motion.	entailment	motion	gen_motion_positive	entailment	1
Alice is jumping.	Alice is not stationary.	entailment	motion	gen_motion_positive	entailment	1
Alice is swimming.	Alice is moving.	entailment	motion	gen_motion_positive	entailment	1
Alice is swimming.	Alice is in motion.	entailment	motion	gen_motion_positive	entailment	1
Alice is swimming.	Alice is not stationary.	entailment	motion	gen_motion_positive	entailment	1
Bob is running.	Bob is moving.	entailment	motion	gen_motion_positive	entailment	1
Bob is running.	Bob is in motion.	entailment	motion	gen_motion_positive	entailment	1
Bob is running.	Bob is not stationary.	entailment	motion	gen_motion_positive	entailment	1
Bob is sprinting.	Bob is moving.	entailment	motion	gen_motion_positive	entailment	1
Bob is sprinting.	Bob is in motion.	entailment	motion	gen_motion_positive	entailment	1
Bob is sprinting.	Bob is not stationary.	entailment	motion	gen_motion_positive	entailment	1
Bob is jogging.	Bob is moving.	entailment	motion	gen_motion_positive	entailment	1
Bob is jogging.	Bob is in motion.	entailment	motion	gen_motion_positive	entailment	1
Bob is jogging.	Bob is not stationary.	entailment	motion	gen_motion_positive	entailment	1
Bob is walking.	Bob is moving.	entailment	motion	gen_motion_positive	entailment	1
Bob is walking.	Bob is in motion.	entailment	motion	gen_motion_positive	entailment	1
Bob is walking.	Bob is not stationary.	entailment	motion	gen_motion_positive	entailment	1
Bob is jumping.	Bob is moving.	entailment	motion	gen_motion_positive	entailment	1
Bob is jumping.	Bob is in motion.	entailment	motion	gen_motion_positive	entailment	1
Bob is jumping.	Bob is not stationary.	entailment	motion	gen_motion_positive	entailment	1
Bob is swimming.	Bob is moving.	entailment	motion	gen_motion_positive	entailment	1
Bob is swimming.	Bob is in motion.	entailment	motion	gen_motion_positive	entailment	1
Bob is swimming.	Bob is not stationary.	entailment	motion	gen_motion_positive	entailment	1
Sonya is running.	Sonya is moving.	entailment	motion	gen_motion_positive	entailment	1
Sonya is running.	Sonya is in motion.	entailment	motion	gen_motion_positive	entailment	1
Sonya is running.	Sonya is not stationary.	entailment	motion	gen_motion_positive	entailment	1
Sonya is sprinting.	Sonya is moving.	entailment	motion	gen_motion_positive	entailment	1
Sonya is sprinting.	Sonya is in motion.	entailment	motion	gen_motion_positive	entailment	1
Sonya is sprinting.	Sonya is not stationary.	entailment	motion	gen_motion_positive	entailment	1
Sonya is jogging.	Sonya is moving.	entailment	motion	gen_motion_positive	entailment	1
Sonya is jogging.	Sonya is in motion.	entailment	motion	gen_motion_positive	entailment	1
Sonya is jogging.	Sonya is not stationary.	entailment	motion	gen_motion_positive	entailment	1
Sonya is walking.	Sonya is moving.	entailment	motion	gen_motion_positive	entailment	1
Sonya is walking.	Sonya is in motion.	entailment	motion	gen_motion_positive	entailment	1
Sonya is walking.	Sonya is not stationary.	entailment	motion	gen_motion_positive	entailment	1
Sonya is jumping.	Sonya is moving.	entailment	motion	gen_motion_positive	entailment	1
Sonya is jumping.	Sonya is in motion.	entailment	motion	gen_motion_positive	entailment	1
Sonya is jumping.	Sonya is not stationary.	entailment	motion	gen_motion_positive	entailment	1
Sonya is swimming.	Sonya is moving.	entailment	motion	gen_motion_positive	entailment	1
Sonya is swimming.	Sonya is in motion.	entailment	motion	gen_motion_positive	entailment	1
Sonya is swimming.	Sonya is not stationary.	entailment	motion	gen_motion_positive	entailment	1
John is standing.	John is moving.	contradiction	motion	gen_non_motion_negative	contradiction	1
John is standing.	John is in motion.	contradiction	motion	gen_non_motion_negative	contradiction	1
John is standing.	John is not stationary.	contradiction	motion	gen_non_motion_negative	entailment	0
John is sitting.	John is moving.	contradiction	motion	gen_non_motion_negative	contradiction	1
John is sitting.	John is in motion.	contradiction	motion	gen_non_motion_negative	contradiction	1
John is sitting.	John is not stationary.	contradiction	motion	gen_non_motion_negative	contradiction	1
John is laying down.	John is moving.	contradiction	motion	gen_non_motion_negative	contradiction	1
John is laying down.	John is in motion.	contradiction	motion	gen_non_motion_negative	contradiction	1
John is laying down.	John is not stationary.	contradiction	motion	gen_non_motion_negative	entailment	0
John is sleeping.	John is moving.	contradiction	motion	gen_non_motion_negative	contradiction	1
John is sleeping.	John is in motion.	contradiction	motion	gen_non_motion_negative	contradiction	1
John is sleeping.	John is not stationary.	contradiction	motion	gen_non_motion_negative	entailment	0
Jane is standing.	Jane is moving.	contradiction	motion	gen_non_motion_negative	contradiction	1
Jane is standing.	Jane is in motion.	contradiction	motion	gen_non_motion_negative	contradiction	1
Jane is standing.	Jane is not stationary.	contradiction	motion	gen_non_motion_negative	entailment	0
Jane is sitting.	Jane is moving.	contradiction	motion	gen_non_motion_negative	contradiction	1
Jane is sitting.	Jane is in motion.	contradiction	motion	gen_non_motion_negative	contradiction	1
Jane is sitting.	Jane is not stationary.	contradiction	motion	gen_non_motion_negative	contradiction	1
Jane is laying down.	Jane is moving.	contradiction	motion	gen_non_motion_negative	contradiction	1
Jane is laying down.	Jane is in motion.	contradiction	motion	gen_non_motion_negative	contradiction	1
Jane is laying down.	Jane is not stationary.	contradiction	motion	gen_non_motion_negative	entailment	0
Jane is sleeping.	Jane is moving.	contradiction	motion	gen_non_motion_negative	contradiction	1
Jane is sleeping.	Jane is in motion.	contradiction	motion	gen_non_motion_negative	contradiction	1
Jane is sleeping.	Jane is not stationary.	contradiction	motion	gen_non_motion_negative	contradiction	1
Tom is standing.	Tom is moving.	contradiction	motion	gen_non_motion_negative	contradiction	1
Tom is standing.	Tom is in motion.	contradiction	motion	gen_non_motion_negative	contradiction	1
Tom is standing.	Tom is not stationary.	contradiction	motion	gen_non_motion_negative	entailment	0
Tom is sitting.	Tom is moving.	contradiction	motion	gen_non_motion_negative	contradiction	1
Tom is sitting.	Tom is in motion.	contradiction	motion	gen_non_motion_negative	contradiction	1
Tom is sitting.	Tom is not stationary.	contradiction	motion	gen_non_motion_negative	contradiction	1
Tom is laying down.	Tom is moving.	contradiction	motion	gen_non_motion_negative	contradiction	1
Tom is laying down.	Tom is in motion.	contradiction	motion	gen_non_motion_negative	contradiction	1
Tom is laying down.	Tom is not stationary.	contradiction	motion	gen_non_motion_negative	entailment	0
Tom is sleeping.	Tom is moving.	contradiction	motion	gen_non_motion_negative	contradiction	1
Tom is sleeping.	Tom is in motion.	contradiction	motion	gen_non_motion_negative	contradiction	1
Tom is sleeping.	Tom is not stationary.	contradiction	motion	gen_non_motion_negative	contradiction	1
Alice is standing.	Alice is moving.	contradiction	motion	gen_non_motion_negative	contradiction	1
Alice is standing.	Alice is in motion.	contradiction	motion	gen_non_motion_negative	contradiction	1
Alice is standing.	Alice is not stationary.	contradiction	motion	gen_non_motion_negative	entailment	0
Alice is sitting.	Alice is moving.	contradiction	motion	gen_non_motion_negative	contradiction	1
Alice is sitting.	Alice is in motion.	contradiction	motion	gen_non_motion_negative	contradiction	1
Alice is sitting.	Alice is not stationary.	contradiction	motion	gen_non_motion_negative	contradiction	1
Alice is laying down.	Alice is moving.	contradiction	motion	gen_non_motion_negative	contradiction	1
Alice is laying down.	Alice is in motion.	contradiction	motion	gen_non_motion_negative	contradiction	1
Alice is laying down.	Alice is not stationary.	contradiction	motion	gen_non_motion_negative	entailment	0
Alice is sleeping.	Alice is moving.	contradiction	motion	gen_non_motion_negative	contradiction	1
Alice is sleeping.	Alice is in motion.	contradiction	motion	gen_non_motion_negative	contradiction	1
Alice is sleeping.	Alice is not stationary.	contradiction	motion	gen_non_motion_negative	contradiction	1
Bob is standing.	Bob is moving.	contradiction	motion	gen_non_motion_negative	contradiction	1
Bob is standing.	Bob is in motion.	contradiction	motion	gen_non_motion_negative	contradiction	1
Bob is standing.	Bob is not stationary.	contradiction	motion	gen_non_motion_negative	entailment	0
Bob is sitting.	Bob is moving.	contradiction	motion	gen_non_motion_negative	contradiction	1
Bob is sitting.	Bob is in motion.	contradiction	motion	gen_non_motion_negative	contradiction	1
Bob is sitting.	Bob is not stationary.	contradiction	motion	gen_non_motion_negative	contradiction	1
Bob is laying down.	Bob is moving.	contradiction	motion	gen_non_motion_negative	contradiction	1
Bob is laying down.	Bob is in motion.	contradiction	motion	gen_non_motion_negative	contradiction	1
Bob is laying down.	Bob is not stationary.	contradiction	motion	gen_non_motion_negative	entailment	0
Bob is sleeping.	Bob is moving.	contradiction	motion	gen_non_motion_negative	contradiction	1
Bob is sleeping.	Bob is in motion.	contradiction	motion	gen_non_motion_negative	contradiction	1
Bob is sleeping.	Bob is not stationary.	contradiction	motion	gen_non_motion_negative	contradiction	1
Sonya is standing.	Sonya is moving.	contradiction	motion	gen_non_motion_negative	contradiction	1
Sonya is standing.	Sonya is in motion.	contradiction	motion	gen_non_motion_negative	contradiction	1
Sonya is standing.	Sonya is not stationary.	contradiction	motion	gen_non_motion_negative	entailment	0
Sonya is sitting.	Sonya is moving.	contradiction	motion	gen_non_motion_negative	contradiction	1
Sonya is sitting.	Sonya is in motion.	contradiction	motion	gen_non_motion_negative	contradiction	1
Sonya is sitting.	Sonya is not stationary.	contradiction	motion	gen_non_motion_negative	contradiction	1
Sonya is laying down.	Sonya is moving.	contradiction	motion	gen_non_motion_negative	contradiction	1
Sonya is laying down.	Sonya is in motion.	contradiction	motion	gen_non_motion_negative	contradiction	1
Sonya is laying down.	Sonya is not stationary.	contradiction	motion	gen_non_motion_negative	entailment	0
Sonya is sleeping.	Sonya is moving.	contradiction	motion	gen_non_motion_negative	contradiction	1
Sonya is sleeping.	Sonya is in motion.	contradiction	motion	gen_non_motion_negative	contradiction	1
Sonya is sleeping.	Sonya is not stationary.	contradiction	motion	gen_non_motion_negative	entailment	0
John is standing.	John is not moving.	entailment	motion	gen_non_motion_positive	entailment	1
John is standing.	John is not in motion.	entailment	motion	gen_non_motion_positive	entailment	1
John is standing.	John is stationary.	entailment	motion	gen_non_motion_positive	contradiction	0
John is sitting.	John is not moving.	entailment	motion	gen_non_motion_positive	entailment	1
John is sitting.	John is not in motion.	entailment	motion	gen_non_motion_positive	entailment	1
John is sitting.	John is stationary.	entailment	motion	gen_non_motion_positive	entailment	1
John is laying down.	John is not moving.	entailment	motion	gen_non_motion_positive	entailment	1
John is laying down.	John is not in motion.	entailment	motion	gen_non_motion_positive	entailment	1
John is laying down.	John is stationary.	entailment	motion	gen_non_motion_positive	entailment	1
John is sleeping.	John is not moving.	entailment	motion	gen_non_motion_positive	entailment	1
John is sleeping.	John is not in motion.	entailment	motion	gen_non_motion_positive	entailment	1
John is sleeping.	John is stationary.	entailment	motion	gen_non_motion_positive	contradiction	0
Jane is standing.	Jane is not moving.	entailment	motion	gen_non_motion_positive	entailment	1
Jane is standing.	Jane is not in motion.	entailment	motion	gen_non_motion_positive	entailment	1
Jane is standing.	Jane is stationary.	entailment	motion	gen_non_motion_positive	contradiction	0
Jane is sitting.	Jane is not moving.	entailment	motion	gen_non_motion_positive	entailment	1
Jane is sitting.	Jane is not in motion.	entailment	motion	gen_non_motion_positive	entailment	1
Jane is sitting.	Jane is stationary.	entailment	motion	gen_non_motion_positive	entailment	1
Jane is laying down.	Jane is not moving.	entailment	motion	gen_non_motion_positive	entailment	1
Jane is laying down.	Jane is not in motion.	entailment	motion	gen_non_motion_positive	entailment	1
Jane is laying down.	Jane is stationary.	entailment	motion	gen_non_motion_positive	entailment	1
Jane is sleeping.	Jane is not moving.	entailment	motion	gen_non_motion_positive	entailment	1
Jane is sleeping.	Jane is not in motion.	entailment	motion	gen_non_motion_positive	entailment	1
Jane is sleeping.	Jane is stationary.	entailment	motion	gen_non_motion_positive	contradiction	0
Tom is standing.	Tom is not moving.	entailment	motion	gen_non_motion_positive	entailment	1
Tom is standing.	Tom is not in motion.	entailment	motion	gen_non_motion_positive	entailment	1
Tom is standing.	Tom is stationary.	entailment	motion	gen_non_motion_positive	contradiction	0
Tom is sitting.	Tom is not moving.	entailment	motion	gen_non_motion_positive	entailment	1
Tom is sitting.	Tom is not in motion.	entailment	motion	gen_non_motion_positive	entailment	1
Tom is sitting.	Tom is stationary.	entailment	motion	gen_non_motion_positive	entailment	1
Tom is laying down.	Tom is not moving.	entailment	motion	gen_non_motion_positive	entailment	1
Tom is laying down.	Tom is not in motion.	entailment	motion	gen_non_motion_positive	entailment	1
Tom is laying down.	Tom is stationary.	entailment	motion	gen_non_motion_positive	entailment	1
Tom is sleeping.	Tom is not moving.	entailment	motion	gen_non_motion_positive	entailment	1
Tom is sleeping.	Tom is not in motion.	entailment	motion	gen_non_motion_positive	entailment	1
Tom is sleeping.	Tom is stationary.	entailment	motion	gen_non_motion_positive	contradiction	0
Alice is standing.	Alice is not moving.	entailment	motion	gen_non_motion_positive	entailment	1
Alice is standing.	Alice is not in motion.	entailment	motion	gen_non_motion_positive	entailment	1
Alice is standing.	Alice is stationary.	entailment	motion	gen_non_motion_positive	contradiction	0
Alice is sitting.	Alice is not moving.	entailment	motion	gen_non_motion_positive	entailment	1
Alice is sitting.	Alice is not in motion.	entailment	motion	gen_non_motion_positive	entailment	1
Alice is sitting.	Alice is stationary.	entailment	motion	gen_non_motion_positive	entailment	1
Alice is laying down.	Alice is not moving.	entailment	motion	gen_non_motion_positive	entailment	1
Alice is laying down.	Alice is not in motion.	entailment	motion	gen_non_motion_positive	entailment	1
Alice is laying down.	Alice is stationary.	entailment	motion	gen_non_motion_positive	entailment	1
Alice is sleeping.	Alice is not moving.	entailment	motion	gen_non_motion_positive	entailment	1
Alice is sleeping.	Alice is not in motion.	entailment	motion	gen_non_motion_positive	entailment	1
Alice is sleeping.	Alice is stationary.	entailment	motion	gen_non_motion_positive	contradiction	0
Bob is standing.	Bob is not moving.	entailment	motion	gen_non_motion_positive	entailment	1
