premise	hypothesis	entailment	reasoning_type	function_name
Sonya came to school.	Sonya was stationary.	contradiction	motion	gen_come_past_motion_negative
Sonya came to a restaurant.	Sonya was not moving.	contradiction	motion	gen_come_past_motion_negative
Sonya came to a restaurant.	Sonya was not in motion.	contradiction	motion	gen_come_past_motion_negative
Sonya came to a restaurant.	Sonya was stationary.	contradiction	motion	gen_come_past_motion_negative
John came to the market.	John was moving.	entailment	motion	gen_come_past_motion_positive
John came to the market.	John was in motion.	entailment	motion	gen_come_past_motion_positive
John came to the market.	John was not stationary.	entailment	motion	gen_come_past_motion_positive
John came to school.	John was moving.	entailment	motion	gen_come_past_motion_positive
John came to school.	John was in motion.	entailment	motion	gen_come_past_motion_positive
John came to school.	John was not stationary.	entailment	motion	gen_come_past_motion_positive
John came to a restaurant.	John was moving.	entailment	motion	gen_come_past_motion_positive
John came to a restaurant.	John was in motion.	entailment	motion	gen_come_past_motion_positive
John came to a restaurant.	John was not stationary.	entailment	motion	gen_come_past_motion_positive
Jane came to the market.	Jane was moving.	entailment	motion	gen_come_past_motion_positive
Jane came to the market.	Jane was in motion.	entailment	motion	gen_come_past_motion_positive
Jane came to the market.	Jane was not stationary.	entailment	motion	gen_come_past_motion_positive
Jane came to school.	Jane was moving.	entailment	motion	gen_come_past_motion_positive
Jane came to school.	Jane was in motion.	entailment	motion	gen_come_past_motion_positive
Jane came to school.	Jane was not stationary.	entailment	motion	gen_come_past_motion_positive
Jane came to a restaurant.	Jane was moving.	entailment	motion	gen_come_past_motion_positive
Jane came to a restaurant.	Jane was in motion.	entailment	motion	gen_come_past_motion_positive
Jane came to a restaurant.	Jane was not stationary.	entailment	motion	gen_come_past_motion_positive
Tom came to the market.	Tom was moving.	entailment	motion	gen_come_past_motion_positive
Tom came to the market.	Tom was in motion.	entailment	motion	gen_come_past_motion_positive
Tom came to the market.	Tom was not stationary.	entailment	motion	gen_come_past_motion_positive
Tom came to school.	Tom was moving.	entailment	motion	gen_come_past_motion_positive
Tom came to school.	Tom was in motion.	entailment	motion	gen_come_past_motion_positive
Tom came to school.	Tom was not stationary.	entailment	motion	gen_come_past_motion_positive
Tom came to a restaurant.	Tom was moving.	entailment	motion	gen_come_past_motion_positive
Tom came to a restaurant.	Tom was in motion.	entailment	motion	gen_come_past_motion_positive
Tom came to a restaurant.	Tom was not stationary.	entailment	motion	gen_come_past_motion_positive
Alice came to the market.	Alice was moving.	entailment	motion	gen_come_past_motion_positive
Alice came to the market.	Alice was in motion.	entailment	motion	gen_come_past_motion_positive
Alice came to the market.	Alice was not stationary.	entailment	motion	gen_come_past_motion_positive
Alice came to school.	Alice was moving.	entailment	motion	gen_come_past_motion_positive
Alice came to school.	Alice was in motion.	entailment	motion	gen_come_past_motion_positive
Alice came to school.	Alice was not stationary.	entailment	motion	gen_come_past_motion_positive
Alice came to a restaurant.	Alice was moving.	entailment	motion	gen_come_past_motion_positive
Alice came to a restaurant.	Alice was in motion.	entailment	motion	gen_come_past_motion_positive
Alice came to a restaurant.	Alice was not stationary.	entailment	motion	gen_come_past_motion_positive
Bob came to the market.	Bob was moving.	entailment	motion	gen_come_past_motion_positive
Bob came to the market.	Bob was in motion.	entailment	motion	gen_come_past_motion_positive
Bob came to the market.	Bob was not stationary.	entailment	motion	gen_come_past_motion_positive
Bob came to school.	Bob was moving.	entailment	motion	gen_come_past_motion_positive
Bob came to school.	Bob was in motion.	entailment	motion	gen_come_past_motion_positive
Bob came to school.	Bob was not stationary.	entailment	motion	gen_come_past_motion_positive
Bob came to a restaurant.	Bob was moving.	entailment	motion	gen_come_past_motion_positive
Bob came to a restaurant.	Bob was in motion.	entailment	motion	gen_come_past_motion_positive
Bob came to a restaurant.	Bob was not stationary.	entailment	motion	gen_come_past_motion_positive
Sonya came to the market.	Sonya was moving.	entailment	motion	gen_come_past_motion_positive
Sonya came to the market.	Sonya was in motion.	entailment	motion	gen_come_past_motion_positive
Sonya came to the market.	Sonya was not stationary.	entailment	motion	gen_come_past_motion_positive
Sonya came to school.	Sonya was moving.	entailment	motion	gen_come_past_motion_positive
Sonya came to school.	Sonya was in motion.	entailment	motion	gen_come_past_motion_positive
Sonya came to school.	Sonya was not stationary.	entailment	motion	gen_come_past_motion_positive
Sonya came to a restaurant.	Sonya was moving.	entailment	motion	gen_come_past_motion_positive
Sonya came to a restaurant.	Sonya was in motion.	entailment	motion	gen_come_past_motion_positive
Sonya came to a restaurant.	Sonya was not stationary.	entailment	motion	gen_come_past_motion_positive
John is coming to the market.	John is not moving.	contradiction	motion	gen_come_present_motion_negative
John is coming to the market.	John is not in motion.	contradiction	motion	gen_come_present_motion_negative
John is coming to the market.	John is stationary.	contradiction	motion	gen_come_present_motion_negative
John is coming to school.	John is not moving.	contradiction	motion	gen_come_present_motion_negative
John is coming to school.	John is not in motion.	contradiction	motion	gen_come_present_motion_negative
John is coming to school.	John is stationary.	contradiction	motion	gen_come_present_motion_negative
John is coming to a restaurant.	John is not moving.	contradiction	motion	gen_come_present_motion_negative
John is coming to a restaurant.	John is not in motion.	contradiction	motion	gen_come_present_motion_negative
John is coming to a restaurant.	John is stationary.	contradiction	motion	gen_come_present_motion_negative
Jane is coming to the market.	Jane is not moving.	contradiction	motion	gen_come_present_motion_negative
Jane is coming to the market.	Jane is not in motion.	contradiction	motion	gen_come_present_motion_negative
Jane is coming to the market.	Jane is stationary.	contradiction	motion	gen_come_present_motion_negative
Jane is coming to school.	Jane is not moving.	contradiction	motion	gen_come_present_motion_negative
Jane is coming to school.	Jane is not in motion.	contradiction	motion	gen_come_present_motion_negative
Jane is coming to school.	Jane is stationary.	contradiction	motion	gen_come_present_motion_negative
Jane is coming to a restaurant.	Jane is not moving.	contradiction	motion	gen_come_present_motion_negative
Jane is coming to a restaurant.	Jane is not in motion.	contradiction	motion	gen_come_present_motion_negative
Jane is coming to a restaurant.	Jane is stationary.	contradiction	motion	gen_come_present_motion_negative
Tom is coming to the market.	Tom is not moving.	contradiction	motion	gen_come_present_motion_negative
Tom is coming to the market.	Tom is not in motion.	contradiction	motion	gen_come_present_motion_negative
Tom is coming to the market.	Tom is stationary.	contradiction	motion	gen_come_present_motion_negative
Tom is coming to school.	Tom is not moving.	contradiction	motion	gen_come_present_motion_negative
Tom is coming to school.	Tom is not in motion.	contradiction	motion	gen_come_present_motion_negative
Tom is coming to school.	Tom is stationary.	contradiction	motion	gen_come_present_motion_negative
Tom is coming to a restaurant.	Tom is not moving.	contradiction	motion	gen_come_present_motion_negative
Tom is coming to a restaurant.	Tom is not in motion.	contradiction	motion	gen_come_present_motion_negative
Tom is coming to a restaurant.	Tom is stationary.	contradiction	motion	gen_come_present_motion_negative
Alice is coming to the market.	Alice is not moving.	contradiction	motion	gen_come_present_motion_negative
Alice is coming to the market.	Alice is not in motion.	contradiction	motion	gen_come_present_motion_negative
Alice is coming to the market.	Alice is stationary.	contradiction	motion	gen_come_present_motion_negative
Alice is coming to school.	Alice is not moving.	contradiction	motion	gen_come_present_motion_negative
Alice is coming to school.	Alice is not in motion.	contradiction	motion	gen_come_present_motion_negative
Alice is coming to school.	Alice is stationary.	contradiction	motion	gen_come_present_motion_negative
Alice is coming to a restaurant.	Alice is not moving.	contradiction	motion	gen_come_present_motion_negative
Alice is coming to a restaurant.	Alice is not in motion.	contradiction	motion	gen_come_present_motion_negative
Alice is coming to a restaurant.	Alice is stationary.	contradiction	motion	gen_come_present_motion_negative
Bob is coming to the market.	Bob is not moving.	contradiction	motion	gen_come_present_motion_negative
Bob is coming to the market.	Bob is not in motion.	contradiction	motion	gen_come_present_motion_negative
Bob is coming to the market.	Bob is stationary.	contradiction	motion	gen_come_present_motion_negative
Bob is coming to school.	Bob is not moving.	contradiction	motion	gen_come_present_motion_negative
Bob is coming to school.	Bob is not in motion.	contradiction	motion	gen_come_present_motion_negative
Bob is coming to school.	Bob is stationary.	contradiction	motion	gen_come_present_motion_negative
Bob is coming to a restaurant.	Bob is not moving.	contradiction	motion	gen_come_present_motion_negative
Bob is coming to a restaurant.	Bob is not in motion.	contradiction	motion	gen_come_present_motion_negative
Bob is coming to a restaurant.	Bob is stationary.	contradiction	motion	gen_come_present_motion_negative
Sonya is coming to the market.	Sonya is not moving.	contradiction	motion	gen_come_present_motion_negative
Sonya is coming to the market.	Sonya is not in motion.	contradiction	motion	gen_come_present_motion_negative
Sonya is coming to the market.	Sonya is stationary.	contradiction	motion	gen_come_present_motion_negative
Sonya is coming to school.	Sonya is not moving.	contradiction	motion	gen_come_present_motion_negative
Sonya is coming to school.	Sonya is not in motion.	contradiction	motion	gen_come_present_motion_negative
Sonya is coming to school.	Sonya is stationary.	contradiction	motion	gen_come_present_motion_negative
Sonya is coming to a restaurant.	Sonya is not moving.	contradiction	motion	gen_come_present_motion_negative
Sonya is coming to a restaurant.	Sonya is not in motion.	contradiction	motion	gen_come_present_motion_negative
Sonya is coming to a restaurant.	Sonya is stationary.	contradiction	motion	gen_come_present_motion_negative
John is coming to the market.	John is moving.	entailment	motion	gen_come_present_motion_positive
John is coming to the market.	John is in motion.	entailment	motion	gen_come_present_motion_positive
John is coming to the market.	John is not stationary.	entailment	motion	gen_come_present_motion_positive
John is coming to school.	John is moving.	entailment	motion	gen_come_present_motion_positive
John is coming to school.	John is in motion.	entailment	motion	gen_come_present_motion_positive
John is coming to school.	John is not stationary.	entailment	motion	gen_come_present_motion_positive
John is coming to a restaurant.	John is moving.	entailment	motion	gen_come_present_motion_positive
John is coming to a restaurant.	John is in motion.	entailment	motion	gen_come_present_motion_positive
John is coming to a restaurant.	John is not stationary.	entailment	motion	gen_come_present_motion_positive
Jane is coming to the market.	Jane is moving.	entailment	motion	gen_come_present_motion_positive
Jane is coming to the market.	Jane is in motion.	entailment	motion	gen_come_present_motion_positive
Jane is coming to the market.	Jane is not stationary.	entailment	motion	gen_come_present_motion_positive
Jane is coming to school.	Jane is moving.	entailment	motion	gen_come_present_motion_positive
Jane is coming to school.	Jane is in motion.	entailment	motion	gen_come_present_motion_positive
Jane is coming to school.	Jane is not stationary.	entailment	motion	gen_come_present_motion_positive
Jane is coming to a restaurant.	Jane is moving.	entailment	motion	gen_come_present_motion_positive
Jane is coming to a restaurant.	Jane is in motion.	entailment	motion	gen_come_present_motion_positive
Jane is coming to a restaurant.	Jane is not stationary.	entailment	motion	gen_come_present_motion_positive
Tom is coming to the market.	Tom is moving.	entailment	motion	gen_come_present_motion_positive
Tom is coming to the market.	Tom is in motion.	entailment	motion	gen_come_present_motion_positive
Tom is coming to the market.	Tom is not stationary.	entailment	motion	gen_come_present_motion_positive
Tom is coming to school.	Tom is moving.	entailment	motion	gen_come_present_motion_positive
Tom is coming to school.	Tom is in motion.	entailment	motion	gen_come_present_motion_positive
Tom is coming to school.	Tom is not stationary.	entailment	motion	gen_come_present_motion_positive
Tom is coming to a restaurant.	Tom is moving.	entailment	motion	gen_come_present_motion_positive
Tom is coming to a restaurant.	Tom is in motion.	entailment	motion	gen_come_present_motion_positive
Tom is coming to a restaurant.	Tom is not stationary.	entailment	motion	gen_come_present_motion_positive
Alice is coming to the market.	Alice is moving.	entailment	motion	gen_come_present_motion_positive
Alice is coming to the market.	Alice is in motion.	entailment	motion	gen_come_present_motion_positive
Alice is coming to the market.	Alice is not stationary.	entailment	motion	gen_come_present_motion_positive
Alice is coming to school.	Alice is moving.	entailment	motion	gen_come_present_motion_positive
Alice is coming to school.	Alice is in motion.	entailment	motion	gen_come_present_motion_positive
Alice is coming to school.	Alice is not stationary.	entailment	motion	gen_come_present_motion_positive
Alice is coming to a restaurant.	Alice is moving.	entailment	motion	gen_come_present_motion_positive
Alice is coming to a restaurant.	Alice is in motion.	entailment	motion	gen_come_present_motion_positive
Alice is coming to a restaurant.	Alice is not stationary.	entailment	motion	gen_come_present_motion_positive
Bob is coming to the market.	Bob is moving.	entailment	motion	gen_come_present_motion_positive
Bob is coming to the market.	Bob is in motion.	entailment	motion	gen_come_present_motion_positive
Bob is coming to the market.	Bob is not stationary.	entailment	motion	gen_come_present_motion_positive
Bob is coming to school.	Bob is moving.	entailment	motion	gen_come_present_motion_positive
Bob is coming to school.	Bob is in motion.	entailment	motion	gen_come_present_motion_positive
Bob is coming to school.	Bob is not stationary.	entailment	motion	gen_come_present_motion_positive
Bob is coming to a restaurant.	Bob is moving.	entailment	motion	gen_come_present_motion_positive
Bob is coming to a restaurant.	Bob is in motion.	entailment	motion	gen_come_present_motion_positive
Bob is coming to a restaurant.	Bob is not stationary.	entailment	motion	gen_come_present_motion_positive
Sonya is coming to the market.	Sonya is moving.	entailment	motion	gen_come_present_motion_positive
Sonya is coming to the market.	Sonya is in motion.	entailment	motion	gen_come_present_motion_positive
Sonya is coming to the market.	Sonya is not stationary.	entailment	motion	gen_come_present_motion_positive
Sonya is coming to school.	Sonya is moving.	entailment	motion	gen_come_present_motion_positive
Sonya is coming to school.	Sonya is in motion.	entailment	motion	gen_come_present_motion_positive
Sonya is coming to school.	Sonya is not stationary.	entailment	motion	gen_come_present_motion_positive
Sonya is coming to a restaurant.	Sonya is moving.	entailment	motion	gen_come_present_motion_positive
Sonya is coming to a restaurant.	Sonya is in motion.	entailment	motion	gen_come_present_motion_positive
Sonya is coming to a restaurant.	Sonya is not stationary.	entailment	motion	gen_come_present_motion_positive
John went to the market.	John was not moving.	contradiction	motion	gen_go_past_motion_negative
John went to the market.	John was not in motion.	contradiction	motion	gen_go_past_motion_negative
John went to the market.	John was stationary.	contradiction	motion	gen_go_past_motion_negative
John went to school.	John was not moving.	contradiction	motion	gen_go_past_motion_negative
John went to school.	John was not in motion.	contradiction	motion	gen_go_past_motion_negative
John went to school.	John was stationary.	contradiction	motion	gen_go_past_motion_negative
John went to a restaurant.	John was not moving.	contradiction	motion	gen_go_past_motion_negative
John went to a restaurant.	John was not in motion.	contradiction	motion	gen_go_past_motion_negative
John went to a restaurant.	John was stationary.	contradiction	motion	gen_go_past_motion_negative
Jane went to the market.	Jane was not moving.	contradiction	motion	gen_go_past_motion_negative
Jane went to the market.	Jane was not in motion.	contradiction	motion	gen_go_past_motion_negative
Jane went to the market.	Jane was stationary.	contradiction	motion	gen_go_past_motion_negative
Jane went to school.	Jane was not moving.	contradiction	motion	gen_go_past_motion_negative
Jane went to school.	Jane was not in motion.	contradiction	motion	gen_go_past_motion_negative
Jane went to school.	Jane was stationary.	contradiction	motion	gen_go_past_motion_negative
Jane went to a restaurant.	Jane was not moving.	contradiction	motion	gen_go_past_motion_negative
Jane went to a restaurant.	Jane was not in motion.	contradiction	motion	gen_go_past_motion_negative
Jane went to a restaurant.	Jane was stationary.	contradiction	motion	gen_go_past_motion_negative
Tom went to the market.	Tom was not moving.	contradiction	motion	gen_go_past_motion_negative
Tom went to the market.	Tom was not in motion.	contradiction	motion	gen_go_past_motion_negative
Tom went to the market.	Tom was stationary.	contradiction	motion	gen_go_past_motion_negative
Tom went to school.	Tom was not moving.	contradiction	motion	gen_go_past_motion_negative
Tom went to school.	Tom was not in motion.	contradiction	motion	gen_go_past_motion_negative
Tom went to school.	Tom was stationary.	contradiction	motion	gen_go_past_motion_negative
Tom went to a restaurant.	Tom was not moving.	contradiction	motion	gen_go_past_motion_negative
Tom went to a restaurant.	Tom was not in motion.	contradiction	motion	gen_go_past_motion_negative
Tom went to a restaurant.	Tom was stationary.	contradiction	motion	gen_go_past_motion_negative
Alice went to the market.	Alice was not moving.	contradiction	motion	gen_go_past_motion_negative
Alice went to the market.	Alice was not in motion.	contradiction	motion	gen_go_past_motion_negative
Alice went to the market.	Alice was stationary.	contradiction	motion	gen_go_past_motion_negative
Alice went to school.	Alice was not moving.	contradiction	motion	gen_go_past_motion_negative
Alice went to school.	Alice was not in motion.	contradiction	motion	gen_go_past_motion_negative
Alice went to school.	Alice was stationary.	contradiction	motion	gen_go_past_motion_negative
Alice went to a restaurant.	Alice was not moving.	contradiction	motion	gen_go_past_motion_negative
Alice went to a restaurant.	Alice was not in motion.	contradiction	motion	gen_go_past_motion_negative
Alice went to a restaurant.	Alice was stationary.	contradiction	motion	gen_go_past_motion_negative
Bob went to the market.	Bob was not moving.	contradiction	motion	gen_go_past_motion_negative
Bob went to the market.	Bob was not in motion.	contradiction	motion	gen_go_past_motion_negative
Bob went to the market.	Bob was stationary.	contradiction	motion	gen_go_past_motion_negative
Bob went to school.	Bob was not moving.	contradiction	motion	gen_go_past_motion_negative
Bob went to school.	Bob was not in motion.	contradiction	motion	gen_go_past_motion_negative
Bob went to school.	Bob was stationary.	contradiction	motion	gen_go_past_motion_negative
Bob went to a restaurant.	Bob was not moving.	contradiction	motion	gen_go_past_motion_negative
Bob went to a restaurant.	Bob was not in motion.	contradiction	motion	gen_go_past_motion_negative
Bob went to a restaurant.	Bob was stationary.	contradiction	motion	gen_go_past_motion_negative
Sonya went to the market.	Sonya was not moving.	contradiction	motion	gen_go_past_motion_negative
Sonya went to the market.	Sonya was not in motion.	contradiction	motion	gen_go_past_motion_negative
Sonya went to the market.	Sonya was stationary.	contradiction	motion	gen_go_past_motion_negative
Sonya went to school.	Sonya was not moving.	contradiction	motion	gen_go_past_motion_negative
Sonya went to school.	Sonya was not in motion.	contradiction	motion	gen_go_past_motion_negative
Sonya went to school.	Sonya was stationary.	contradiction	motion	gen_go_past_motion_negative
Sonya went to a restaurant.	Sonya was not moving.	contradiction	motion	gen_go_past_motion_negative
Sonya went to a restaurant.	Sonya was not in motion.	contradiction	motion	gen_go_past_motion_negative
Sonya went to a restaurant.	Sonya was stationary.	contradiction	motion	gen_go_past_motion_negative
John went to the market.	John was moving.	entailment	motion	gen_go_past_motion_positive
John went to the market.	John was in motion.	entailment	motion	gen_go_past_motion_positive
John went to the market.	John was not stationary.	entailment	motion	gen_go_past_motion_positive
John went to school.	John was moving.	entailment	motion	gen_go_past_motion_positive
John went to school.	John was in motion.	entailment	motion	gen_go_past_motion_positive
John went to school.	John was not stationary.	entailment	motion	gen_go_past_motion_positive
John went to a restaurant.	John was moving.	entailment	motion	gen_go_past_motion_positive
John went to a restaurant.	John was in motion.	entailment	motion	gen_go_past_motion_positive
John went to a restaurant.	John was not stationary.	entailment	motion	gen_go_past_motion_positive
Jane went to the market.	Jane was moving.	entailment	motion	gen_go_past_motion_positive
Jane went to the market.	Jane was in motion.	entailment	motion	gen_go_past_motion_positive
Jane went to the market.	Jane was not stationary.	entailment	motion	gen_go_past_motion_positive
Jane went to school.	Jane was moving.	entailment	motion	gen_go_past_motion_positive
Jane went to school.	Jane was in motion.	entailment	motion	gen_go_past_motion_positive
Jane went to school.	Jane was not stationary.	entailment	motion	gen_go_past_motion_positive
Jane went to a restaurant.	Jane was moving.	entailment	motion	gen_go_past_motion_positive
Jane went to a restaurant.	Jane was in motion.	entailment	motion	gen_go_past_motion_positive
Jane went to a restaurant.	Jane was not stationary.	entailment	motion	gen_go_past_motion_positive
Tom went to the market.	Tom was moving.	entailment	motion	gen_go_past_motion_positive
Tom went to the market.	Tom was in motion.	entailment	motion	gen_go_past_motion_positive
Tom went to the market.	Tom was not stationary.	entailment	motion	gen_go_past_motion_positive
Tom went to school.	Tom was moving.	entailment	motion	gen_go_past_motion_positive
Tom went to school.	Tom was in motion.	entailment	motion	gen_go_past_motion_positive
Tom went to school.	Tom was not stationary.	entailment	motion	gen_go_past_motion_positive
Tom went to a restaurant.	Tom was moving.	entailment	motion	gen_go_past_motion_positive
Tom went to a restaurant.	Tom was in motion.	entailment	motion	gen_go_past_motion_positive
Tom went to a restaurant.	Tom was not stationary.	entailment	motion	gen_go_past_motion_positive
Alice went to the market.	Alice was moving.	entailment	motion	gen_go_past_motion_positive
Alice went to the market.	Alice was in motion.	entailment	motion	gen_go_past_motion_positive
Alice went to the market.	Alice was not stationary.	entailment	motion	gen_go_past_motion_positive
Alice went to school.	Alice was moving.	entailment	motion	gen_go_past_motion_positive
Alice went to school.	Alice was in motion.	entailment	motion	gen_go_past_motion_positive
Alice went to school.	Alice was not stationary.	entailment	motion	gen_go_past_motion_positive
Alice went to a restaurant.	Alice was moving.	entailment	motion	gen_go_past_motion_positive
Alice went to a restaurant.	Alice was in motion.	entailment	motion	gen_go_past_motion_positive
Alice went to a restaurant.	Alice was not stationary.	entailment	motion	gen_go_past_motion_positive
Bob went to the market.	Bob was moving.	entailment	motion	gen_go_past_motion_positive
Bob went to the market.	Bob was in motion.	entailment	motion	gen_go_past_motion_positive
Bob went to the market.	Bob was not stationary.	entailment	motion	gen_go_past_motion_positive
Bob went to school.	Bob was moving.	entailment	motion	gen_go_past_motion_positive
Bob went to school.	Bob was in motion.	entailment	motion	gen_go_past_motion_positive
Bob went to school.	Bob was not stationary.	entailment	motion	gen_go_past_motion_positive
Bob went to a restaurant.	Bob was moving.	entailment	motion	gen_go_past_motion_positive
Bob went to a restaurant.	Bob was in motion.	entailment	motion	gen_go_past_motion_positive
Bob went to a restaurant.	Bob was not stationary.	entailment	motion	gen_go_past_motion_positive
Sonya went to the market.	Sonya was moving.	entailment	motion	gen_go_past_motion_positive
Sonya went to the market.	Sonya was in motion.	entailment	motion	gen_go_past_motion_positive
Sonya went to the market.	Sonya was not stationary.	entailment	motion	gen_go_past_motion_positive
Sonya went to school.	Sonya was moving.	entailment	motion	gen_go_past_motion_positive
Sonya went to school.	Sonya was in motion.	entailment	motion	gen_go_past_motion_positive
Sonya went to school.	Sonya was not stationary.	entailment	motion	gen_go_past_motion_positive
Sonya went to a restaurant.	Sonya was moving.	entailment	motion	gen_go_past_motion_positive
Sonya went to a restaurant.	Sonya was in motion.	entailment	motion	gen_go_past_motion_positive
Sonya went to a restaurant.	Sonya was not stationary.	entailment	motion	gen_go_past_motion_positive
John is going to the market.	John is not moving.	contradiction	motion	gen_go_present_motion_negative
John is going to the market.	John is not in motion.	contradiction	motion	gen_go_present_motion_negative
John is going to the market.	John is stationary.	contradiction	motion	gen_go_present_motion_negative
John is going to school.	John is not moving.	contradiction	motion	gen_go_present_motion_negative
John is going to school.	John is not in motion.	contradiction	motion	gen_go_present_motion_negative
John is going to school.	John is stationary.	contradiction	motion	gen_go_present_motion_negative
John is going to a restaurant.	John is not moving.	contradiction	motion	gen_go_present_motion_negative
John is going to a restaurant.	John is not in motion.	contradiction	motion	gen_go_present_motion_negative
John is going to a restaurant.	John is stationary.	contradiction	motion	gen_go_present_motion_negative
Jane is going to the market.	Jane is not moving.	contradiction	motion	gen_go_present_motion_negative
Jane is going to the market.	Jane is not in motion.	contradiction	motion	gen_go_present_motion_negative
Jane is going to the market.	Jane is stationary.	contradiction	motion	gen_go_present_motion_negative
Jane is going to school.	Jane is not moving.	contradiction	motion	gen_go_present_motion_negative
Jane is going to school.	Jane is not in motion.	contradiction	motion	gen_go_present_motion_negative
Jane is going to school.	Jane is stationary.	contradiction	motion	gen_go_present_motion_negative
Jane is going to a restaurant.	Jane is not moving.	contradiction	motion	gen_go_present_motion_negative
Jane is going to a restaurant.	Jane is not in motion.	contradiction	motion	gen_go_present_motion_negative
Jane is going to a restaurant.	Jane is stationary.	contradiction	motion	gen_go_present_motion_negative
Tom is going to the market.	Tom is not moving.	contradiction	motion	gen_go_present_motion_negative
Tom is going to the market.	Tom is not in motion.	contradiction	motion	gen_go_present_motion_negative
Tom is going to the market.	Tom is stationary.	contradiction	motion	gen_go_present_motion_negative
Tom is going to school.	Tom is not moving.	contradiction	motion	gen_go_present_motion_negative
Tom is going to school.	Tom is not in motion.	contradiction	motion	gen_go_present_motion_negative
Tom is going to school.	Tom is stationary.	contradiction	motion	gen_go_present_motion_negative
Tom is going to a restaurant.	Tom is not moving.	contradiction	motion	gen_go_present_motion_negative
Tom is going to a restaurant.	Tom is not in motion.	contradiction	motion	gen_go_present_motion_negative
Tom is going to a restaurant.	Tom is stationary.	contradiction	motion	gen_go_present_motion_negative
